"Sample_ID","BasinWideUnit","Creek","SpeciesCode","FieldSeason","LifeStage","ForkLength","FishWeight","FultonConditionFactor","Latitude","Longitude","HabitatType","Length_m","EstWidth_m","EstSurfaceArea_msq","MaxDepth_m","CrestDepth_m","ResidualPoolDepth_m","SectionNum","RiverReach","Gastropoda_snail","Isopoda","Megaloptera","Coleoptera","Diptera","Littorinimorpha","Hemiptera","Trichoptera","Araneae","Amphipoda","Hymenoptera","Psocodea","Ephemeroptera","Plecoptera","Lepidoptera","Acari","Neuroptera","Oligochaeta","Bivalvia","Decapoda","Annelida","Odonata","Diplopoda","Thysanoptera","Siphonaptera","Slug","Salmoniformes","Collembola","Orthoptera"
0.1,1,"Redwood Creek Mainstem","SH","2020","1+",101,12.23,1.187031751,37.860157,-122.57767,"Mid-Channel Pool",556,13,7228,1.5,0,1.5,0.1,"PacificWay",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,1,"Redwood Creek Mainstem","SH","2020","1+",158,41.53,1.052908593,37.860157,-122.57767,"Mid-Channel Pool",556,13,7228,1.5,0,1.5,0.1,"PacificWay",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,1,"Redwood Creek Mainstem","SH","2020","1+",136,28.65,1.138958503,37.860157,-122.57767,"Mid-Channel Pool",556,13,7228,1.5,0,1.5,0.1,"PacificWay",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,1,"Redwood Creek Mainstem","SH","2020","1+",125,23.08,1.181696,37.860157,-122.57767,"Mid-Channel Pool",556,13,7228,1.5,0,1.5,0.1,"PacificWay",0,5,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1,"Redwood Creek Mainstem","SH","2020","1+",110,14.4,1.081893313,37.860157,-122.57767,"Mid-Channel Pool",556,13,7228,1.5,0,1.5,0.1,"PacificWay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6,1,"Redwood Creek Mainstem","SH","2020","1+",128,20.9,0.996589661,37.860157,-122.57767,"Mid-Channel Pool",556,13,7228,1.5,0,1.5,0.1,"PacificWay",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,1,"Redwood Creek Mainstem","SH","2020","1+",102,12.19,1.148690926,37.860157,-122.57767,"Mid-Channel Pool",556,13,7228,1.5,0,1.5,0.1,"PacificWay",0,1,0,1,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.1,37,"Redwood Creek Mainstem","SH","2020","YoY",61,2.43,1.070574189,37.86504,-122.57661,"Scour Pool",41.9,6.3,263.97,0.71,0.09,0.62,2,"PacificWay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.2,37,"Redwood Creek Mainstem","SH","2020","YoY",73,4.21,1.082214916,37.86504,-122.57661,"Scour Pool",41.9,6.3,263.97,0.71,0.09,0.62,2,"PacificWay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.3,37,"Redwood Creek Mainstem","SH","2020","YoY",67,3.17,1.053986029,37.86504,-122.57661,"Scour Pool",41.9,6.3,263.97,0.71,0.09,0.62,2,"PacificWay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.4,37,"Redwood Creek Mainstem","SH","2020","YoY",73,3.71,0.953685829,37.86504,-122.57661,"Scour Pool",41.9,6.3,263.97,0.71,0.09,0.62,2,"PacificWay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57.1,57,"Redwood Creek Mainstem","SH","2020","YoY",51,0.96,0.723703553,37.866513,-122.579249,"Mid-Channel Pool",25.8,4.1,105.78,0.87,0.06,0.81,5,"Highway1",1,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
