"Terrestrial_or_Aquatic","Avg_Length_mm"
"unknown",0.875
"aquatic",2.95190476190476
"terrestrial",2.36847826086957
"aquatic",2.6556338028169
"terrestrial",2.3135593220339
"unknown",2.0952380952381
"aquatic",2.50343035343035
"terrestrial",3.1026
"unknown",3.61428571428571
"aquatic",2.80748299319728
"unknown",3.66363636363636
"aquatic",1.6589552238806
"aquatic",2.63235294117647
"terrestrial",2.91
"unknown",1.95769230769231
"terrestrial",2.22021276595745
"aquatic",2.58695652173913
"unknown",4.02
"unknown",7.42692307692308
"aquatic",2.56627906976744
"aquatic",4.17941176470588
"aquatic",2.6421875
"terrestrial",1.75862068965517
"aquatic",2.76032719836401
"terrestrial",4.24736842105263
"unknown",3.1421686746988
