"SpeciesCode","LifeStage","NumberOfFish","ID","EventID","LocationID","StartDate","FieldSeason","Latitude","Longitude","StreamNumber","Watershed","StreamName","ForkLength","FishWeight","FultonConditionFactor","RiverReach"
"SH","YoY",1,338072,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",61,3.86,1.70058286816958,NA
"SH","YoY",1,338073,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",59,2.34,1.13935699365563,NA
"SH","YoY",1,338074,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",51,0.96,0.72370355293213,NA
"SH","YoY",1,338075,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",58,2.12,1.08655541432613,NA
"SH","YoY",1,338076,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",62,2.77,1.16226377093753,NA
"SH","YoY",1,338077,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",56,2.91,1.65702441690962,NA
"SH","YoY",1,338078,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",65,3.48,1.26718252162039,NA
"SH","YoY",1,338079,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",80,5.48,1.0703125,NA
"SH","1+",1,338080,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",111,12.72,0.930075437014809,NA
"SH","YoY",1,338081,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",66,3.41,1.18610345883073,NA
"SH","YoY",1,338082,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",56,1.89,1.07621173469388,NA
"SH","YoY",1,338083,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",67,3.58,1.19030598843608,NA
"SH","1+",1,338085,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",141,28.9,1.03095688852217,NA
"SH","1+",1,338086,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",92,7.33,0.941326949946577,NA
"SH","YoY",1,338087,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",84,6.24,1.05280207321024,NA
"SH","1+",1,338088,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",95,9.31,1.08587257617729,NA
"SH","1+",1,338093,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",124,19.98,1.04792554798429,NA
"SH","1+",1,338094,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",109,14.3,1.10422237648732,NA
"SH","YoY",1,338095,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",56,NA,NA,NA
"SH","YoY",1,338096,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",64,3.22,1.22833251953125,NA
"SH","YoY",1,338099,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",52,1.58,1.12369139736004,NA
"SH","1+",1,338100,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",121,17.01,0.960170155021475,NA
"SH","YoY",1,338101,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",66,NA,NA,NA
"SH","1+",1,338102,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",122,19.74,1.08709539564986,NA
"SH","1+",1,338103,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",124,20.81,1.09145799066832,NA
"SH","1+",1,338104,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",106,12.82,1.07639192084741,NA
"SH","YoY",1,338106,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",64,3.89,1.48391723632812,NA
"SH","1+",1,338107,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",96,9.59,1.08393916377315,NA
"SH","YoY",1,338116,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",85,7.04,1.14634642784449,NA
"SH","1+",1,338117,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",97,10.8,1.18333729605236,NA
"SH","YoY",1,338118,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",62,2.78,1.16645966902756,NA
"SH","1+",1,338119,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",141,28.47,1.01561739156492,NA
"SH","YoY",1,338120,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",72,4.93,1.32083762002743,NA
"SH","1+",1,338121,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",115,16.39,1.07766910495603,NA
"SH","YoY",1,338122,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",58,2.34,1.19931116486941,NA
"SH","1+",1,338123,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",97,NA,NA,NA
"SH","YoY",1,338124,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",76,NA,NA,NA
"SH","YoY",1,338125,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",49,1.44,1.22397980433323,NA
"SH","YoY",10,338130,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",NA,NA,NA,NA
"SH","YoY",5,338133,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",NA,NA,NA,NA
"SH","1+",2,338134,14436,45,2020-07-29,2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem",NA,NA,NA,NA
"SH","YoY",1,338138,14437,2,2020-07-29,2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem",66,3.07,1.067840943874,"PacificWay"
"SH","YoY",1,338139,14437,2,2020-07-29,2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem",55,2.26,1.35837716003005,"PacificWay"
"SH","YoY",1,338140,14437,2,2020-07-29,2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem",78,5.41,1.14002258972673,"PacificWay"
"SH","1+",1,338141,14437,2,2020-07-29,2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem",106,11.94,1.00250542394057,"PacificWay"
"SH","YoY",1,338142,14437,2,2020-07-29,2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem",41,0.82,1.18976799524093,"PacificWay"
"SH","YoY",1,338143,14437,2,2020-07-29,2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem",61,2.75,1.21155515219336,"PacificWay"
"SH","YoY",1,338144,14437,2,2020-07-29,2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem",53,1.74,1.16875004198096,"PacificWay"
"SH","YoY",1,338145,14437,2,2020-07-29,2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem",44,0.73,0.856968444778362,"PacificWay"
"SH","YoY",1,338146,14437,2,2020-07-29,2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem",69,3.96,1.20544642612531,"PacificWay"
"SH","YoY",1,338147,14437,2,2020-07-29,2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem",51,NA,NA,"PacificWay"
"SH","YoY",1,338149,14437,2,2020-07-29,2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem",50,1.31,1.048,"PacificWay"
"SH","YoY",1,338151,14437,2,2020-07-29,2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem",48,1.48,1.33825231481481,"PacificWay"
"SH","1+",1,338152,14437,2,2020-07-29,2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem",95,10.17,1.18617874325703,"PacificWay"
"SH","YoY",1,338153,14437,2,2020-07-29,2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem",66,3.08,1.07131925313743,"PacificWay"
"SH","1+",1,338160,14438,6,2020-07-29,2020,37.872729,-122.582945,"14","Redwood Creek","Redwood Creek Mainstem",119,17.03,1.0105871315407,"PacificWay"
"SH","YoY",1,338165,14438,6,2020-07-29,2020,37.872729,-122.582945,"14","Redwood Creek","Redwood Creek Mainstem",54,1.59,1.00975461057766,"PacificWay"
"SH","YoY",1,338168,14438,6,2020-07-29,2020,37.872729,-122.582945,"14","Redwood Creek","Redwood Creek Mainstem",66,2.98,1.0365361605031,"PacificWay"
"SH","YoY",1,338169,14438,6,2020-07-29,2020,37.872729,-122.582945,"14","Redwood Creek","Redwood Creek Mainstem",48,1.16,1.04890046296296,"PacificWay"
"SH","YoY",1,338170,14438,6,2020-07-29,2020,37.872729,-122.582945,"14","Redwood Creek","Redwood Creek Mainstem",60,2.52,1.16666666666667,"PacificWay"
"SH","YoY",1,338171,14438,6,2020-07-29,2020,37.872729,-122.582945,"14","Redwood Creek","Redwood Creek Mainstem",44,0.67,0.786532682193839,"PacificWay"
"SH","YoY",1,338176,14438,6,2020-07-29,2020,37.872729,-122.582945,"14","Redwood Creek","Redwood Creek Mainstem",41,0.96,1.39289911637962,"PacificWay"
"SH","YoY",1,338191,14439,13,2020-07-30,2020,37.876118,-122.58216,"20","Redwood Creek","Redwood Creek Mainstem",46,0.82,0.842442672803485,"PacificWay"
"SH","1+",1,338192,14439,13,2020-07-30,2020,37.876118,-122.58216,"20","Redwood Creek","Redwood Creek Mainstem",115,15.11,0.993507027204734,"PacificWay"
