"SpeciesCode","LifeStage","Count","EventID","LocationID","SnorkelSurveysID","BasinWideUnitSnorkel","StartDate","FieldSeason","Latitude","Longitude","StreamNumber","Watershed","StreamName","HabitatDescriptionSnorkel","Pass","Visibility","TimeElapsed_s","RiverReach"
"CO","YoY",0,14174,12,4711,34,"2020-07-21",2020,37.86504,-122.57661,"2","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".7",900,"PacificWay"
"SH","1+",20,14174,12,4711,34,"2020-07-21",2020,37.86504,-122.57661,"2","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".7",900,"PacificWay"
"SH","YoY",1,14174,12,4711,34,"2020-07-21",2020,37.86504,-122.57661,"2","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".7",900,"PacificWay"
"CO","YoY",0,14175,23,4712,39,"2020-07-21",2020,37.86553,-122.57749,"3","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".8",300,"PacificWay"
"SH","YoY",1,14175,23,4712,39,"2020-07-21",2020,37.86553,-122.57749,"3","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".8",300,"PacificWay"
"SH","1+",3,14175,23,4712,39,"2020-07-21",2020,37.86553,-122.57749,"3","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".8",300,"PacificWay"
"CO","YoY",0,14176,45,4713,47,"2020-07-21",2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".7",300,NA
"SH","YoY",1,14176,45,4713,47,"2020-07-21",2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".7",300,NA
"SH","1+",3,14176,45,4713,47,"2020-07-21",2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".7",300,NA
"CO","YoY",0,14177,45,4714,57,"2020-07-21",2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".7",300,NA
"SH","1+",10,14177,45,4714,57,"2020-07-21",2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".7",300,NA
"SH","YoY",1,14177,45,4714,57,"2020-07-21",2020,37.866513,-122.579249,"5","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".7",300,NA
"CO","YoY",0,14178,56,4715,71,"2020-07-21",2020,37.8671,-122.579695,"6","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".8",420,"Dipsea"
"SH","YoY",1,14178,56,4715,71,"2020-07-21",2020,37.8671,-122.579695,"6","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".8",420,"Dipsea"
"SH","1+",18,14178,56,4715,71,"2020-07-21",2020,37.8671,-122.579695,"6","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".8",420,"Dipsea"
"CO","YoY",0,14179,74,4716,77,"2020-07-21",2020,37.86857,-122.58031,"8","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".8",300,NA
"SH","YoY",1,14179,74,4716,77,"2020-07-21",2020,37.86857,-122.58031,"8","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".8",300,NA
"SH","1+",11,14179,74,4716,77,"2020-07-21",2020,37.86857,-122.58031,"8","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".8",300,NA
"CO","YoY",0,14180,74,4717,85,"2020-07-21",2020,37.86857,-122.58031,"8","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".9",180,NA
"SH","YoY",1,14180,74,4717,85,"2020-07-21",2020,37.86857,-122.58031,"8","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".9",180,NA
"SH","1+",8,14180,74,4717,85,"2020-07-21",2020,37.86857,-122.58031,"8","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".9",180,NA
"CO","YoY",0,14181,75,4718,93,"2020-07-21",2020,37.86919,-122.58114,"9","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",360,NA
"SH","YoY",1,14181,75,4718,93,"2020-07-21",2020,37.86919,-122.58114,"9","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",360,NA
"SH","1+",15,14181,75,4718,93,"2020-07-21",2020,37.86919,-122.58114,"9","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",360,NA
"CO","YoY",0,14182,2,4719,102,"2020-07-21",2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem","Flatwater",1,"1",60,"PacificWay"
"SH","YoY",1,14182,2,4719,102,"2020-07-21",2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem","Flatwater",1,"1",60,"PacificWay"
"SH","1+",1,14182,2,4719,102,"2020-07-21",2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem","Flatwater",1,"1",60,"PacificWay"
"CO","YoY",0,14183,2,4720,109,"2020-07-21",2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",120,"PacificWay"
"SH","1+",0,14183,2,4720,109,"2020-07-21",2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",120,"PacificWay"
"SH","YoY",1,14183,2,4720,109,"2020-07-21",2020,37.86978,-122.58167,"10","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".9",120,"PacificWay"
"CO","YoY",0,14184,3,4721,116,"2020-07-21",2020,37.87048,-122.58219,"11","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,"1",420,"PacificWay"
"SH","YoY",1,14184,3,4721,116,"2020-07-21",2020,37.87048,-122.58219,"11","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,"1",420,"PacificWay"
"SH","1+",2,14184,3,4721,116,"2020-07-21",2020,37.87048,-122.58219,"11","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,"1",420,"PacificWay"
"CO","YoY",0,14185,4,4722,123,"2020-07-21",2020,37.870986,-122.582781,"12","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".8",180,"PacificWay"
"SH","YoY",1,14185,4,4722,123,"2020-07-21",2020,37.870986,-122.582781,"12","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".8",180,"PacificWay"
"SH","1+",17,14185,4,4722,123,"2020-07-21",2020,37.870986,-122.582781,"12","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".8",180,"PacificWay"
"CO","YoY",0,14186,5,4723,137,"2020-07-21",2020,37.87193,-122.582798,"13","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".8",240,"PacificWay"
"SH","YoY",1,14186,5,4723,137,"2020-07-21",2020,37.87193,-122.582798,"13","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".8",240,"PacificWay"
"SH","1+",5,14186,5,4723,137,"2020-07-21",2020,37.87193,-122.582798,"13","Redwood Creek","Redwood Creek Mainstem","Scour Pool",1,".8",240,"PacificWay"
"CO","YoY",0,14187,6,4724,148,"2020-07-22",2020,37.872729,-122.582945,"14","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".8",600,"PacificWay"
"SH","YoY",1,14187,6,4724,148,"2020-07-22",2020,37.872729,-122.582945,"14","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".8",600,"PacificWay"
"SH","1+",4,14187,6,4724,148,"2020-07-22",2020,37.872729,-122.582945,"14","Redwood Creek","Redwood Creek Mainstem","Mid-Channel Pool",1,".8",600,"PacificWay"
